codigo_de_osinergmin,razon_social,ruc,direccion,distrito,n
15234,ADMINISTRADORA 6 DE AGOSTO S.A.,20100942675,AV. DEL EJERCITO N° 1295,MIRAFLORES,218
15234,REPSOL COMERCIAL S.A.C.,20503840121,AV. DEL EJERCITO N° 1295,MIRAFLORES,268
15235,ESTACION DE SERVICIOS GRECS S.R.L,20385784482,ESQUINA DE LA AV. VICTOR MALASQUEZ Y CALLE 71 LOS HUERTOS DE MANCHAY,PACHACAMAC,125
15450,SERVICENTRO SEÑOR DE LOS MILAGROS DE BARRANCO S.A.C.,20521614791,AV. PANAMERICANA SUR N° 200,BARRANCO,123
15491,F & R INVERSIONES Y PROYECTOS SAC,20514217361,"AV. VICTOR MALASQUEZ S/N SECTOR NUEVO PROGRESO, MZ. V, LOTES 130 Y 131",PACHACAMAC,24
15495,ANTONIO MAQUILON DE LA FUENTE CHAVEZ,15160280538,ESQ. AV. PROCERES CON LA AV. CAQUETA,RIMAC,24
15496,GAZEL PERU S.A.C.,20511995028,"AV.WIESSE SECTOR 3. LTE 41, MZ. G-8. PROLONGACION MARISCAL CACERES",SAN JUAN DE LURIGANCHO,135
15496,TERPEL PERU S.A.C,20511995028,"AV.WIESSE SECTOR 3. LTE 41, MZ. G-8. PROLONGACION MARISCAL CACERES",SAN JUAN DE LURIGANCHO,73
15664,COESTI S.A.,20127765279,AV. NICOLAS AYLLON N° 1500,CHACLACAYO,1235
15666,BAC PETROL S.A.C.,20387366475,AV. GUARDIA CIVIL Nº 203. ESQUINA AV. LOS GORRIONES,CHORRILLOS,505
15692,ABA SINGER & CIA. S.A.C.,20100032881,COMANDANTE ESPINAR CUADRA 8,MIRAFLORES,245
15726,GRUPO INVERSIONES LIAN S.A.C.,20550060753,AV. F. WIESE N° 4262 - 4266 CON ALAMEDA LOS DIPLOMATICOS,SAN JUAN DE LURIGANCHO,115
15729,SERVICENTRO SAN HILARION S.A.,20203530073,INTERSECCION AV. CANTOGRANDE Y AV. LAS FLORES DE PRIMAVERA,SAN JUAN DE LURIGANCHO,59
15730,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,INTERSECCION DE LA AV. ANGAMOS N° 1401 Y LA CALLE SAN LORENZO,SURQUILLO,674
15731,ESTACION DE SERVICIOS BOLIVAR S.A.,20100079179,AV. SANTIAGO DE SURCO Nº 4420,SANTIAGO DE SURCO,472
16028,REPSOL COMERCIAL S.A.C.,20503840121,AV. SAMUEL ALCAZAR N° 801,RIMAC,840
16143,SERVICENTRO ALASPE S.A - COOP DE SERV ESP ALAS PERUANAS,20101259448,"ESQ. DE  LA  AV. VENEZUELA Nº 3343 CON JR.  ARISTIDES DEL CARPIO, URB. INDUSTRIAL PALOMINO",LIMA,511
16439,GAS ESCORPIO S.R.L.,20502716761,"AV. LA MOLINA N° 377-397, PARCELA SEMIRUSTICA LA MOLINA, MZ. D, PARCELA 4",ATE,356
16586,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,AV. FRANCISCO PIZARRO N°1207,RIMAC,664
16600,REPSOL COMERCIAL S.A.C.,20503840121,"AV. UNIVERSITARIA  SUR  N° 546, CON  FRENTE  CALLE  MATERIALES  N° 156",LIMA,938
16602,REPSOL COMERCIAL S.A.C,20503840121,AV. PASEO DE LA REPUBLICA INTERSECCION CON LA AV. ANGAMOS N° 498,MIRAFLORES,882
16608,CLARIGO S.A.C.,20521411172,"AV. LAS FLORES Nº 750, URB. SANTA MARIA",LURIGANCHO,746
16612,ABA SINGER & CIA. S.A.C.,20100032881,"AV. PETIT THOUARS N° 1148, URB. SANTA. BEATRIZ",LIMA,701
16616,COESTI S.A.,20127765279,ESQ. DE LA AV. DEFENSORES DEL MORRO N° 360 CON LA AV. ALFONSO UGARTE,CHORRILLOS,1034
16617,REPSOL COMERCIAL S.A.C.,20503840121,AV. JOSE GÁLVEZ BARRENECHEA N° 1146 (ANTES AV. PRINCIPAL) ESQ. CON CALLE 32 URB. VILLA VICTORIA,SURQUILLO,1259
16618,PACHACUTEC INVERSIONES GENERALES S.R.L.,20552147279,ESQUINA AV. PACHACUTEC Y AV. EL SOL MZ. E  LT. 1 PARQUE INDUSTRIAL,VILLA EL SALVADOR,333
16619,INVERSIONES BOREAL S.A.,20293389811,AV. AUGUSTO PEREZ ARANIBAR (ANTES AV. DEL EJERCITO) N° 2199 ESQ. AV. SALAVERRY,SAN ISIDRO,512
16622,SERVICENTRO SANTA CECILIA S.A.C.,20343081368,AV. BOLIVAR 499 ESQUINA CON JR. ISLAS HAWAI,PUEBLO LIBRE,311
16638,REPSOL COMERCIAL S.A.C.,20503840121,"AV. 09 DE OCTUBRE Nº 508 (AV. CIRCUNVALACION KM. 6.5), PIEDRA LIZA",RIMAC,835
16639,REPSOL COMERCIAL S.A.C.,20503840121,AV. NICOLAS AYLLON N° 2970,ATE,618
16640,REPSOL COMERCIAL S.A.C.,20503840121,AV. DEL PARQUE SUR 285 ESQ. AV.  GUARDIA CIVIL,SAN ISIDRO,1555
16641,REPSOL COMERCIAL S.A.C.,20503840121,AV. TOMAS MARSANO ESQUINA CON AV. LOS PROCERES,SANTIAGO DE SURCO,1211
16642,REPSOL COMERCIAL S.A.C.,20503840121,AV. ALFREDO MENDIOLA N° 2000,INDEPENDENCIA,912
16643,ESTACION DE SERVICIO AVIACION S.A.C.,20414668713,INTERSECCION DE LA AV. SAN BORJA NORTE Y LA AV. AVIACION N° 2680,SAN BORJA,183
16643,ESTACION DE SERVICIOS AVIACION S.A.C.,20414668713,INTERSECCION DE LA AV. SAN BORJA NORTE Y LA AV. AVIACION N° 2680,SAN BORJA,200
16644,GRIFOS ESPINOZA S.A.,20100111838,"AV. AREQUIPA  Nº 908, ESQUINA CON JR. EMILIO FERNANDEZ - URB. SANTA BEATRIZ",LIMA,783
16645,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,AV. SAN LUIS Nº 2480,SAN BORJA,521
16649,ESTACIONES DE SERVICIO GASOLINAS DE AMERICA S.A.C.,20536053621,AV. PETIT THOUARS Nº 3305 - 3307,SAN ISIDRO,613
16670,VELDI S.A,20340226748,INTERSECCION DE LA AV. GENERAL CORDOVA N° 1025 Y AV. HIPOLITO UNANUE N° 370.,MIRAFLORES,150
16670,VELDI S.A,20340226748,INTERSECCION DE LA AV. GENERAL CORDOVA Y LA AV. PELAYO SAMANAMUD (EX HIPOLITO UNANUE),MIRAFLORES,152
16671,BEMCHO S.A.C.,20522958078,"CALLE SARGENTO VILLAR N° 308, 316, 318. ESQ. CON AV. PETIT THOUARS - URB. SANTA BEATRIZ",LIMA,728
16681,INVERSIONES FIGUEROA S.R.L.,20423398061,"ESQ. AV. SAN MARTIN Y AV. SANTA ROSA CANTO GRANDE, UNIDAD 12 MZ G LT. 5.",SAN JUAN DE LURIGANCHO,6
16694,INVERSIONES UCHIYAMA S.R.L. (OPERADOR DE C.L. Y GLP),20298736820,AV. LA MAR N° 2382 Y AV. RIVAGÜERO N° 810 URB. PANDO IV ETAPA (ANTES AV. RIVA AGUERO ESQ. CON LA MAR),SAN MIGUEL,443
16700,EMPRESA DE TRANSPORTES Y SERVICIOS VIRGEN DE LA PUERTA S.A.,20156930963,"AV. REPUBLICA DE CROACIA N° 377, ZAPALLAL",PUENTE PIEDRA,260
16702,GRUPO RANESI S.A.C.,20536210238,AV. CIRCUNVALACION LT. 34 ASOCIACION DIGNIDAD NACIONAL HUACHIPA - SANTA MARIA DE HUACHIPA,LURIGANCHO,12
16703,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,AV. PASEO DE LA REPUBLICA N° 5545 ESQUINA CON LA AV. RICARDO PALMA,MIRAFLORES,653
16706,CLARIGO S.A.C.,20521411172,"AV. CRUZ DE MOTUPE MZ N 1 LOTE 1, AA HH MONTENEGRO",SAN JUAN DE LURIGANCHO,332
